,host_response_rate,host_is_superhost,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,is_business_travel_ready,cancellation_policy,zvi,Number_of_days_as_host,number_of_amenities,review_period
6483,0,f,2,1.0,1.0,1.0,165,0,30,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,moderate,1896,1387.0,23,0.0
6484,0,f,2,1.0,1.0,1.0,200,0,30,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,moderate,1896,1387.0,10,0.0
6485,100,t,4,2.0,2.0,2.0,75,299,65,4,10,36,66,32,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1183.0,31,293.0
6486,100,t,2,1.0,1.0,1.0,48,250,69,2,25,36,66,10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1183.0,26,113.0
6487,100,f,2,1.0,1.0,2.0,19,0,17,1,0,46,76,77,89.0,9.0,9.0,10.0,9.0,10.0,9.0,f,flexible,1896,727.0,32,298.0
6488,100,t,4,1.0,2.0,2.0,100,300,30,2,20,27,57,15,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1896,716.0,26,123.0
6489,0,f,5,2.0,2.0,2.0,105,0,45,1,0,59,89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,flexible,1896,630.0,10,0.0
6490,100,f,6,2.0,3.0,4.0,200,250,100,6,100,22,42,25,90.0,9.0,9.0,8.0,9.0,10.0,9.0,f,strict_14_with_grace_period,1896,1555.0,45,287.0
6491,0,f,4,2.0,2.0,3.0,275,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,flexible,1896,327.0,14,0.0
6492,0,f,4,1.0,2.0,2.0,100,150,0,1,0,0,0,4,80.0,10.0,8.0,10.0,10.0,9.0,8.0,f,flexible,1896,326.0,11,37.0
6493,100,f,4,1.0,1.0,2.0,250,0,100,1,0,28,58,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,1881.0,50,237.0
6494,100,f,1,1.0,1.0,1.0,10,0,17,1,0,50,80,43,90.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,727.0,29,217.0
6495,100,f,4,1.0,1.0,1.0,250,0,50,1,0,21,24,16,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,876.0,21,194.0
6496,100,t,6,2.0,2.0,3.0,250,300,150,1,0,15,26,24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,622.0,45,147.0
6497,100,f,2,1.0,1.0,1.0,199,200,100,1,100,0,5,8,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,1446.0,23,126.0
6498,100,f,2,1.0,1.0,1.0,19,0,17,1,0,37,67,27,88.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,727.0,31,160.0
6499,100,f,2,1.0,1.0,1.0,19,0,19,1,0,52,82,40,86.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,727.0,34,172.0
6500,80,f,4,2.0,2.0,2.0,159,100,50,4,100,45,75,6,97.0,10.0,9.0,9.0,9.0,10.0,9.0,f,strict_14_with_grace_period,1896,2563.0,38,93.0
6501,98,f,2,1.0,1.0,1.0,19,0,17,1,0,38,67,55,88.0,9.0,9.0,10.0,10.0,9.0,9.0,f,flexible,1896,989.0,34,165.0
6502,98,f,2,1.0,1.0,1.0,19,0,17,1,0,40,70,47,89.0,9.0,9.0,10.0,10.0,9.0,9.0,f,flexible,1896,989.0,34,171.0
6503,98,f,2,1.0,1.0,1.0,19,0,17,1,0,31,61,49,90.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,34,166.0
6504,98,f,2,1.0,1.0,1.0,19,0,17,1,0,47,77,37,88.0,9.0,9.0,10.0,10.0,9.0,9.0,f,flexible,1896,989.0,34,168.0
6505,98,f,2,1.0,1.0,1.0,19,0,25,1,0,23,46,50,94.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,38,170.0
6506,100,f,8,2.0,4.0,4.0,250,0,80,1,0,39,69,24,88.0,9.0,8.0,10.0,9.0,10.0,9.0,f,strict_14_with_grace_period,1896,1041.0,24,176.0
6507,98,f,2,1.0,1.0,1.0,19,0,17,1,0,42,72,37,89.0,9.0,9.0,10.0,10.0,9.0,9.0,f,flexible,1896,989.0,34,167.0
6508,98,f,2,1.0,1.0,1.0,19,0,17,1,0,25,55,43,92.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,989.0,34,163.0
6509,100,f,5,2.0,2.0,2.0,145,150,45,2,20,0,0,8,98.0,9.0,9.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1774.0,25,56.0
6510,100,f,5,2.5,3.0,3.0,200,200,150,1,0,33,63,16,89.0,9.0,9.0,9.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1107.0,39,135.0
6511,100,f,2,1.0,1.0,1.0,100,300,25,1,50,1,1,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1268.0,30,126.0
6512,100,f,2,1.0,1.0,1.0,19,0,17,1,0,46,76,30,82.0,9.0,9.0,10.0,8.0,9.0,8.0,f,flexible,1896,727.0,35,134.0
6513,100,f,1,1.0,1.0,1.0,19,0,17,1,0,57,87,36,87.0,9.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,727.0,20,150.0
6514,100,f,9,2.5,3.0,0.0,500,0,125,8,30,23,47,36,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1213.0,40,163.0
6515,100,f,4,2.0,2.0,2.0,187,400,134,4,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,strict_14_with_grace_period,1896,1698.0,35,0.0
6516,0,f,1,1.0,1.0,1.0,60,0,0,1,0,0,0,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,212.0,15,60.0
6517,100,t,6,1.5,2.0,3.0,145,0,125,1,0,22,41,12,98.0,10.0,10.0,10.0,10.0,10.0,9.0,f,moderate,1896,176.0,14,80.0
6518,100,f,8,1.0,2.0,4.0,210,0,40,1,0,43,73,47,94.0,9.0,10.0,10.0,10.0,10.0,9.0,f,moderate,1896,166.0,32,116.0
6519,100,t,6,1.0,2.0,3.0,169,0,60,4,0,26,56,25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,151.0,27,92.0
6520,88,f,7,2.0,3.0,4.0,250,0,125,7,20,31,57,16,99.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1665.0,38,93.0
6521,100,f,3,1.0,1.0,1.0,90,0,5,1,0,4,10,11,95.0,9.0,10.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,1896,131.0,17,84.0
6522,100,f,2,1.0,1.0,1.0,100,100,20,1,10,28,40,8,93.0,10.0,8.0,10.0,10.0,10.0,9.0,f,strict_14_with_grace_period,1896,156.0,13,53.0
6523,80,t,6,1.0,2.0,3.0,176,0,60,6,20,29,29,14,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,1015.0,45,59.0
6524,98,f,2,1.0,1.0,1.0,19,0,17,1,0,31,50,23,88.0,9.0,9.0,10.0,9.0,10.0,9.0,f,flexible,1896,989.0,33,74.0
6525,98,f,2,1.0,1.0,1.0,19,0,17,1,0,41,71,22,91.0,9.0,10.0,10.0,9.0,10.0,9.0,f,flexible,1896,989.0,33,73.0
6526,98,f,2,1.0,1.0,1.0,19,0,17,1,0,37,67,23,80.0,9.0,9.0,9.0,8.0,9.0,8.0,f,flexible,1896,989.0,33,67.0
6527,100,f,2,1.0,1.0,1.0,60,0,0,1,15,32,59,25,94.0,10.0,10.0,10.0,10.0,10.0,9.0,f,flexible,1896,311.0,32,76.0
6528,100,t,1,1.0,1.0,1.0,80,0,28,1,40,23,23,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,strict_14_with_grace_period,1896,1457.0,17,48.0
6529,100,f,1,1.0,1.0,1.0,90,0,5,1,10,0,0,2,60.0,6.0,8.0,7.0,7.0,6.0,6.0,f,strict_14_with_grace_period,1896,1216.0,9,12.0
6530,100,f,2,1.0,1.0,1.0,19,0,17,1,0,20,45,4,90.0,9.0,10.0,10.0,10.0,10.0,9.0,f,flexible,1896,727.0,37,32.0
6531,100,f,4,1.0,2.0,2.0,150,0,0,1,15,2,7,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,247.0,40,46.0
6532,100,f,2,1.0,1.0,1.0,19,0,17,1,0,25,55,11,84.0,9.0,9.0,9.0,9.0,9.0,9.0,f,flexible,1896,727.0,32,38.0
6533,100,f,2,1.0,1.0,1.0,19,0,17,1,0,44,63,13,80.0,9.0,10.0,10.0,10.0,9.0,9.0,f,flexible,1896,727.0,34,42.0
6534,100,f,13,2.0,4.0,4.0,299,100,125,4,15,49,79,6,93.0,8.0,9.0,9.0,10.0,10.0,9.0,f,moderate,1896,773.0,28,50.0
6535,100,f,2,1.0,1.0,1.0,19,0,17,1,0,32,59,10,92.0,9.0,9.0,10.0,10.0,10.0,10.0,f,flexible,1896,727.0,32,36.0
6536,100,f,3,1.0,1.0,2.0,19,0,17,1,0,40,70,13,74.0,9.0,10.0,8.0,8.0,9.0,8.0,f,flexible,1896,727.0,32,37.0
6537,100,f,2,1.0,1.0,1.0,19,0,17,1,0,42,72,9,96.0,10.0,9.0,9.0,9.0,9.0,9.0,f,flexible,1896,727.0,32,33.0
6538,92,f,2,1.0,1.0,1.0,159,200,35,1,0,32,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,moderate,1896,2310.0,27,0.0
6539,100,f,2,1.0,1.0,1.0,19,0,17,1,0,36,66,7,97.0,9.0,9.0,10.0,10.0,9.0,9.0,f,flexible,1896,727.0,34,25.0
6540,100,f,3,1.0,1.0,2.0,19,0,17,1,0,34,52,10,86.0,9.0,10.0,10.0,9.0,10.0,9.0,f,flexible,1896,727.0,34,28.0
6541,100,f,2,1.0,1.0,1.0,19,0,17,1,0,48,78,5,88.0,10.0,9.0,10.0,9.0,9.0,9.0,f,flexible,1896,727.0,35,27.0
6542,100,f,6,2.0,2.0,0.0,235,0,200,6,50,37,67,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,75.0,41,28.0
6543,98,f,2,1.0,1.0,1.0,19,0,17,1,0,56,86,4,75.0,6.0,9.0,9.0,7.0,9.0,8.0,f,flexible,1896,989.0,32,16.0
6544,98,f,2,1.0,1.0,1.0,19,0,17,1,0,58,88,6,77.0,7.0,9.0,9.0,7.0,8.0,7.0,f,flexible,1896,989.0,32,28.0
6545,100,f,2,1.0,1.0,1.0,125,300,30,1,0,51,69,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,strict_14_with_grace_period,1896,2497.0,15,0.0
6546,100,f,4,1.0,1.0,2.0,156,0,55,3,20,16,29,2,100.0,10.0,9.0,10.0,10.0,10.0,9.0,f,moderate,1896,361.0,17,5.0
6547,98,f,3,1.0,2.0,2.0,107,0,77,1,0,21,51,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1896,366.0,22,16.0
6548,100,t,2,1.0,1.0,1.0,56,0,25,1,10,18,41,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1896,1167.0,27,15.0
